"tree1.x","Site","Neighborhood","intra_spp","Region","hilo","tree2.x","comp.x","tree1.y","tree2.y","inter_spp","comp.y",".variable.x",".value.x",".lower.x",".upper.x",".variable.y",".value.y",".lower.y",".upper.y","med_diff","lower_diff","upper_diff","intra_greater","interval_intra_greater"
"10ac11","sl",1,"ac","Mammoth","high","10ac17","intra","10ac11","10pj12","pj","inter","rescor__t10ac11__t10ac17",0.370932489673647,0.103640763211908,0.574183532821581,"rescor__t10ac11__t10pj12",0.450391445468413,0.201376472896788,0.646438182099645,-0.079458955794766,-0.09773570968488,-0.072254649278064,0,0
"10ac11","sl",1,"ac","Mammoth","high","10ac17","intra","10ac11","10pj13","pj","inter","rescor__t10ac11__t10ac17",0.370932489673647,0.103640763211908,0.574183532821581,"rescor__t10ac11__t10pj13",0.344398434821664,0.0733368621952828,0.557526427564006,0.026534054851983,0.0303039010166252,0.0166571052575749,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac13","intra","10ac12","10pj11","pj","inter","rescor__t10ac12__t10ac13",0.419569120605694,0.171554528614271,0.626142599118777,"rescor__t10ac12__t10pj11",0.319000599527961,0.0454862005543248,0.538407225568208,0.100568521077733,0.126068328059946,0.087735373550569,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac13","intra","10ac12","10pj12","pj","inter","rescor__t10ac12__t10ac13",0.419569120605694,0.171554528614271,0.626142599118777,"rescor__t10ac12__t10pj12",0.173833393648997,-0.107922387572163,0.422243372095055,0.245735726956697,0.279476916186434,0.203899227023722,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac13","intra","10ac12","10pj13","pj","inter","rescor__t10ac12__t10ac13",0.419569120605694,0.171554528614271,0.626142599118777,"rescor__t10ac12__t10pj13",0.412050329599614,0.152731506985782,0.628203154098601,0.00751879100607999,0.018823021628489,-0.00206055497982394,1,0
"10ac12","sl",1,"ac","Mammoth","high","10ac14","intra","10ac12","10pj11","pj","inter","rescor__t10ac12__t10ac14",0.566753133297055,0.32731485341464,0.732063997667642,"rescor__t10ac12__t10pj11",0.319000599527961,0.0454862005543248,0.538407225568208,0.247752533769094,0.281828652860315,0.193656772099434,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac14","intra","10ac12","10pj12","pj","inter","rescor__t10ac12__t10ac14",0.566753133297055,0.32731485341464,0.732063997667642,"rescor__t10ac12__t10pj12",0.173833393648997,-0.107922387572163,0.422243372095055,0.392919739648058,0.435237240986803,0.309820625572587,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac14","intra","10ac12","10pj13","pj","inter","rescor__t10ac12__t10ac14",0.566753133297055,0.32731485341464,0.732063997667642,"rescor__t10ac12__t10pj13",0.412050329599614,0.152731506985782,0.628203154098601,0.154702803697441,0.174583346428858,0.103860843569041,1,1
"10ac12","sl",1,"ac","Mammoth","high","10ac15","intra","10ac12","10pj11","pj","inter","rescor__t10ac12__t10ac15",0.196384476201214,-0.0721449852296902,0.447425695342225,"rescor__t10ac12__t10pj11",0.319000599527961,0.0454862005543248,0.538407225568208,-0.122616123326747,-0.117631185784015,-0.090981530225983,0,0
"10ac12","sl",1,"ac","Mammoth","high","10ac15","intra","10ac12","10pj12","pj","inter","rescor__t10ac12__t10ac15",0.196384476201214,-0.0721449852296902,0.447425695342225,"rescor__t10ac12__t10pj12",0.173833393648997,-0.107922387572163,0.422243372095055,0.022551082552217,0.0357774023424728,0.02518232324717,1,1
