"focalID","periphID","dist","focalsp","DBH","periphsp","totBA"
"10ac1_1","10ac1_2",15.1394680246581,"ac",50.6,"ac",2.7670655166
"10ac1_1","10ac1_3",8.48105037534389,"ac",50.6,"ac",0.0084948864
"10ac1_1","10ac1_4",7.25927258001372,"ac",50.6,"ac",1.1461059456
"10ac1_1","10ac1_5",14.411308386209,"ac",50.6,"ac",0.0408282336
"10ac1_1","10ac1_6",16.684428920727,"ac",50.6,"ac",0.0081713016
"10ac1_1","10ac1_7",7.25330023482883,"ac",50.6,"ac",0.0408282336
"10ac1_1","10pj1_1",23.5541463336709,"ac",50.6,"pj",0.141862875
"10ac1_1","10pj1_2",13.6407797946439,"ac",50.6,"pj",1.1632473006
"10ac1_1","10pj1_3",28.4387083493495,"ac",50.6,"pj",0.043373715
"10ac1_2","10ac1_1",15.1394680246581,"ac",187.7,"ac",0.2010906744
"10ac1_2","10ac1_3",8.29372126419099,"ac",187.7,"ac",0.0084948864
"10ac1_2","10ac1_4",12.06482841495,"ac",187.7,"ac",1.1461059456
"10ac1_2","10ac1_5",18.6560966448315,"ac",187.7,"ac",0.0408282336
"10ac1_2","10ac1_6",17.3974330572635,"ac",187.7,"ac",0.0081713016
"10ac1_2","10ac1_7",8.89105148118542,"ac",187.7,"ac",0.0408282336
"10ac1_2","10pj1_1",8.85322482064609,"ac",187.7,"pj",0.141862875
"10ac1_2","10pj1_2",21.1966092158802,"ac",187.7,"pj",1.1632473006
"10ac1_2","10pj1_3",13.5928303359719,"ac",187.7,"pj",0.043373715
"10ac1_3","10ac1_1",8.48105037534389,"ac",10.4,"ac",0.2010906744
"10ac1_3","10ac1_2",8.29372126419099,"ac",10.4,"ac",2.7670655166
"10ac1_3","10ac1_4",3.79325277831157,"ac",10.4,"ac",1.1461059456
"10ac1_3","10ac1_5",11.5179463899424,"ac",10.4,"ac",0.0408282336
"10ac1_3","10ac1_6",11.6738236755917,"ac",10.4,"ac",0.0081713016
"10ac1_3","10ac1_7",1.27865648772728,"ac",10.4,"ac",0.0408282336
"10ac1_3","10pj1_1",15.6316665023525,"ac",10.4,"pj",0.141862875
"10ac1_3","10pj1_2",13.3056960797723,"ac",10.4,"pj",1.1632473006
"10ac1_3","10pj1_3",20.505736615589,"ac",10.4,"pj",0.043373715
"10ac1_4","10ac1_1",7.25927258001372,"ac",120.8,"ac",0.2010906744
"10ac1_4","10ac1_2",12.06482841495,"ac",120.8,"ac",2.7670655166
"10ac1_4","10ac1_3",3.79325277831157,"ac",120.8,"ac",0.0084948864
"10ac1_4","10ac1_5",8.56044397719532,"ac",120.8,"ac",0.0408282336
"10ac1_4","10ac1_6",9.82102329743689,"ac",120.8,"ac",0.0081713016
"10ac1_4","10ac1_7",3.64186155161474,"ac",120.8,"ac",0.0408282336
"10ac1_4","10pj1_1",18.9378509779944,"ac",120.8,"pj",0.141862875
"10ac1_4","10pj1_2",9.69914082485077,"ac",120.8,"pj",1.1632473006
"10ac1_4","10pj1_3",23.7474510061527,"ac",120.8,"pj",0.043373715
"10ac1_5","10ac1_1",14.411308386209,"ac",22.8,"ac",0.2010906744
"10ac1_5","10ac1_2",18.6560966448315,"ac",22.8,"ac",2.7670655166
"10ac1_5","10ac1_3",11.5179463899424,"ac",22.8,"ac",0.0084948864
"10ac1_5","10ac1_4",8.56044397719532,"ac",22.8,"ac",1.1461059456
"10ac1_5","10ac1_6",3.99934826376712,"ac",22.8,"ac",0.0081713016
"10ac1_5","10ac1_7",11.9312784471141,"ac",22.8,"ac",0.0408282336
"10ac1_5","10pj1_1",23.0028461382459,"ac",22.8,"pj",0.141862875
