"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"17pj2_3","17ac2_1",-0.0599527585768834,1960,"lc","PJ","SENF","low",2,14.4,0.183098591549296,0.250081432206516,"lc",2,"AC",14.0713596678143
"17pl2_1","17ac2_1",0.309857569237787,1960,"lc","PL","SENF","low",2,52.7,0.112676056338028,0.0826540441858316,"lc",2,"AC",3.72740373646854
"17pl2_2","17ac2_1",1.00000000000046,1960,"lc","PL","SENF","low",2,38.6,0.0756302521008403,0.0671392995900192,"lc",2,"AC",6.8640281169547
"17pj2_1","17ac2_2",-0.0554171165509934,1960,"lc","PJ","SENF","low",2,71,0.161490683229814,0.289809440659718,"lc",2,"AC",14.0483690584588
"17pj2_3","17ac2_2",0.0760679719390177,1960,"lc","PJ","SENF","low",2,14.4,0.183098591549296,0.250081432206516,"lc",2,"AC",14.1910631187299
"17pl2_1","17ac2_2",0.630232742124479,1960,"lc","PL","SENF","low",2,52.7,0.112676056338028,0.0826540441858316,"lc",2,"AC",5.40006385945828
"17pl2_2","17ac2_2",-1.00000000000002,1960,"lc","PL","SENF","low",2,38.6,0.0756302521008403,0.0671392995900192,"lc",2,"AC",5.20452841007093
"17pj3_1","17ac3_1",0.612086946380011,1960,"lc","PJ","SENF","low",3,23.5,0.140350877192982,0.138345504276473,"lc",3,"AC",11.1533793827873
"17pl3_1","17ac3_1",0.413728495912365,1960,"lc","PL","SENF","low",3,97.3,0.102564102564103,0.31701146492426,"lc",3,"AC",4.39349567058983
"17pj1_2","17pj1_1",0.0719443535509234,1960,"lc","PJ","SENF","low",1,66.6,0.428571428571429,0.490158062430205,"lc",1,"PJ",25.8310006687004
"17pj1_3","17pj1_1",0.189614721159117,1960,"lc","PJ","SENF","low",1,44.4,0.714285714285714,0.607982258013631,"lc",1,"PJ",33.657419282855
"17pl1_1","17pj1_1",0.634065011668888,1960,"lc","PL","SENF","low",1,122.9,0.333333333333333,0.677225472005439,"lc",1,"PJ",4.47721354578001
