".variable",".value",".lower",".upper",".width",".point",".interval","tree1","spp1","tree2","spp2","pair","comp","Site","Neighborhood","focal_sp","comp_sp"
"rescor__t17ac11__t17ac13",0.0857328303520945,-0.213629406142266,0.367063145564902,0.95,"median","qi","17ac11","ac","17ac13","ac","ac-ac","intra","lc",1,"ac","self"
"rescor__t17ac12__t17ac13",0.215655624728677,-0.0813725874749334,0.471937376050282,0.95,"median","qi","17ac12","ac","17ac13","ac","ac-ac","intra","lc",1,"ac","self"
"rescor__t17ac21__t17ac22",0.513627687934687,0.255094814458885,0.707426712510638,0.95,"median","qi","17ac21","ac","17ac22","ac","ac-ac","intra","lc",2,"ac","self"
"rescor__t17ac21__t17ac23",0.291343372438075,-0.0162453316919174,0.527621887817884,0.95,"median","qi","17ac21","ac","17ac23","ac","ac-ac","intra","lc",2,"ac","self"
"rescor__t17ac22__t17ac23",0.175595026429596,-0.121242742259471,0.439186654064874,0.95,"median","qi","17ac22","ac","17ac23","ac","ac-ac","intra","lc",2,"ac","self"
"rescor__t17ac31__t17ac32",0.0925991943182286,-0.269729781039664,0.418427223314221,0.95,"median","qi","17ac31","ac","17ac32","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t17ac31__t17ac33",0.186227246817925,-0.17148233015336,0.492351673163965,0.95,"median","qi","17ac31","ac","17ac33","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t17ac31__t17ac34",-0.0230455425364369,-0.374468989471151,0.336404888552399,0.95,"median","qi","17ac31","ac","17ac34","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t17ac32__t17ac33",0.16674652080651,-0.186875428278448,0.484637033463307,0.95,"median","qi","17ac32","ac","17ac33","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t17ac32__t17ac34",0.275402041199856,-0.104356540487927,0.569916396361374,0.95,"median","qi","17ac32","ac","17ac34","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t17ac33__t17ac34",0.275623899412517,-0.0994537276360556,0.580473806123384,0.95,"median","qi","17ac33","ac","17ac34","ac","ac-ac","intra","lc",3,"ac","self"
"rescor__t18ac11__t18ac12",0.26186042107592,-0.135695992891326,0.592682619846488,0.95,"median","qi","18ac11","ac","18ac12","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac11__t18ac13",0.302613511445422,-0.116314335903775,0.619459210101344,0.95,"median","qi","18ac11","ac","18ac13","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac11__t18ac14",0.0020953026500369,-0.382311767884784,0.377357045110273,0.95,"median","qi","18ac11","ac","18ac14","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac11__t18ac15",0.213697220194307,-0.190061630640066,0.549711363936518,0.95,"median","qi","18ac11","ac","18ac15","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac11__t18ac16",0.49643526410269,0.0897375759185002,0.753574266164728,0.95,"median","qi","18ac11","ac","18ac16","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac12__t18ac13",0.240548389097598,-0.170910022323257,0.589256936010388,0.95,"median","qi","18ac12","ac","18ac13","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac12__t18ac14",0.312791196121594,-0.0943673079875856,0.643545825064461,0.95,"median","qi","18ac12","ac","18ac14","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac12__t18ac15",0.0763943458251784,-0.329838649087098,0.462311607444987,0.95,"median","qi","18ac12","ac","18ac15","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac12__t18ac16",0.351550767663656,-0.0752400587544113,0.658293489683557,0.95,"median","qi","18ac12","ac","18ac16","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac13__t18ac14",0.272102804040873,-0.159399921791871,0.613854877309689,0.95,"median","qi","18ac13","ac","18ac14","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac13__t18ac15",0.123888980807997,-0.276164950094966,0.504334703631672,0.95,"median","qi","18ac13","ac","18ac15","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac13__t18ac16",0.403755912632618,-0.0339145380646715,0.708896901085552,0.95,"median","qi","18ac13","ac","18ac16","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac14__t18ac15",0.0905003750291147,-0.334647820524256,0.485870953874378,0.95,"median","qi","18ac14","ac","18ac15","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac14__t18ac16",0.137836794382075,-0.281962643641048,0.498160090776105,0.95,"median","qi","18ac14","ac","18ac16","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac15__t18ac16",0.0158790128312168,-0.370820803469245,0.39433769917953,0.95,"median","qi","18ac15","ac","18ac16","ac","ac-ac","intra","pp",1,"ac","self"
"rescor__t18ac21__t18ac22",0.337058841370282,0.0605457890589545,0.562785757860981,0.95,"median","qi","18ac21","ac","18ac22","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac21__t18ac23",0.453964314151448,0.184487116322847,0.650968290309371,0.95,"median","qi","18ac21","ac","18ac23","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac21__t18ac24",0.124133002268936,-0.151661338416946,0.387259032794673,0.95,"median","qi","18ac21","ac","18ac24","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac22__t18ac23",0.578410457429148,0.352295134616514,0.740440183008881,0.95,"median","qi","18ac22","ac","18ac23","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac22__t18ac24",-0.100738847903101,-0.374843137741432,0.178152448577966,0.95,"median","qi","18ac22","ac","18ac24","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac23__t18ac24",0.198268534176761,-0.0814902167302503,0.443099651165098,0.95,"median","qi","18ac23","ac","18ac24","ac","ac-ac","intra","pp",2,"ac","self"
"rescor__t18ac31__t18ac32",0.0427946617780743,-0.265036119694312,0.345531333200216,0.95,"median","qi","18ac31","ac","18ac32","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac31__t18ac33",0.453329291802013,0.139715176956315,0.681981836683042,0.95,"median","qi","18ac31","ac","18ac33","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac31__t18ac34",0.670707734810072,0.408105072719202,0.824713654890091,0.95,"median","qi","18ac31","ac","18ac34","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac31__t18ac35",0.239327521549784,-0.0834577161796558,0.515925928486846,0.95,"median","qi","18ac31","ac","18ac35","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac31__t18ac36",0.0931650956928525,-0.211005276047063,0.388000922568045,0.95,"median","qi","18ac31","ac","18ac36","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac31__t18ac37",0.319204568956062,0.00507189610613054,0.570541451792359,0.95,"median","qi","18ac31","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac32__t18ac33",0.0800244447900768,-0.250123837740806,0.384636924166463,0.95,"median","qi","18ac32","ac","18ac33","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac32__t18ac34",0.0609301090866623,-0.264598831905404,0.371755444258312,0.95,"median","qi","18ac32","ac","18ac34","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac32__t18ac35",0.132438040272454,-0.210826856084274,0.451841653276508,0.95,"median","qi","18ac32","ac","18ac35","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac32__t18ac36",0.290095737323303,-0.0601045776576282,0.582656952404476,0.95,"median","qi","18ac32","ac","18ac36","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac32__t18ac37",0.301789023964308,-0.042718060324026,0.573431076874207,0.95,"median","qi","18ac32","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac33__t18ac34",0.443390824143209,0.136222715942977,0.678987852301343,0.95,"median","qi","18ac33","ac","18ac34","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac33__t18ac35",0.178811688226104,-0.161864219133865,0.471809592047869,0.95,"median","qi","18ac33","ac","18ac35","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac33__t18ac36",-0.144521518752507,-0.452691841395783,0.19243002990857,0.95,"median","qi","18ac33","ac","18ac36","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac33__t18ac37",0.128648007246497,-0.188014079793409,0.421525196889718,0.95,"median","qi","18ac33","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac34__t18ac35",0.233489307342086,-0.0998412719023842,0.509268382859135,0.95,"median","qi","18ac34","ac","18ac35","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac34__t18ac36",-0.0714244334726368,-0.378278943997024,0.259806442759341,0.95,"median","qi","18ac34","ac","18ac36","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac34__t18ac37",0.23971902149531,-0.0747442832147534,0.515050511345306,0.95,"median","qi","18ac34","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac35__t18ac36",0.0620707146734798,-0.284667919487062,0.385323636397073,0.95,"median","qi","18ac35","ac","18ac36","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac35__t18ac37",0.328609064149578,-0.014732186262542,0.60600905859736,0.95,"median","qi","18ac35","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t18ac36__t18ac37",0.240668456923584,-0.117982411146296,0.525664369514536,0.95,"median","qi","18ac36","ac","18ac37","ac","ac-ac","intra","pp",3,"ac","self"
"rescor__t8ac11__t8ac12",0.137850432356022,-0.226725620685166,0.452295254707439,0.95,"median","qi","8ac11","ac","8ac12","ac","ac-ac","intra","pr",1,"ac","self"
"rescor__t8ac11__t8ac13157",0.0945998214813673,-0.260027835620268,0.423811876469135,0.95,"median","qi","8ac11","ac","8ac13157","ac","ac-ac","intra","pr",1,"ac","self"
"rescor__t8ac12__t8ac13157",0.21231318056752,-0.163378349435887,0.524664534224611,0.95,"median","qi","8ac12","ac","8ac13157","ac","ac-ac","intra","pr",1,"ac","self"
"rescor__t8ac21__t8ac22",0.470858269662542,0.218934286372713,0.667562977967271,0.95,"median","qi","8ac21","ac","8ac22","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac21__t8ac24",0.012333081373592,-0.264705773545839,0.28377370330111,0.95,"median","qi","8ac21","ac","8ac24","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac21__t8ac2528",0.0235665339724568,-0.263350321980303,0.29127575167006,0.95,"median","qi","8ac21","ac","8ac2528","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac21__t8ac2533",0.372749712272902,0.0978050363601277,0.593404619519073,0.95,"median","qi","8ac21","ac","8ac2533","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac21__t8ac2543",-0.0811528850918861,-0.342226948181714,0.191729294745669,0.95,"median","qi","8ac21","ac","8ac2543","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac22__t8ac24",0.311096630362181,0.0451120724139393,0.54874850129584,0.95,"median","qi","8ac22","ac","8ac24","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac22__t8ac2528",-0.16559305931967,-0.428999005044168,0.122003539154157,0.95,"median","qi","8ac22","ac","8ac2528","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac22__t8ac2533",-0.0711011749483504,-0.3403269698479,0.208872105342767,0.95,"median","qi","8ac22","ac","8ac2533","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac22__t8ac2543",0.0324847755062098,-0.24789986986792,0.300733706216549,0.95,"median","qi","8ac22","ac","8ac2543","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac24__t8ac2528",-0.109339208678991,-0.37872111632881,0.180118456377187,0.95,"median","qi","8ac24","ac","8ac2528","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac24__t8ac2533",-0.240936728212358,-0.485786470517466,0.0332720879322963,0.95,"median","qi","8ac24","ac","8ac2533","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac24__t8ac2543",0.356832171026347,0.0734308036366977,0.585516882829219,0.95,"median","qi","8ac24","ac","8ac2543","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac2528__t8ac2533",0.354040125340978,0.0918391726808299,0.580144623569192,0.95,"median","qi","8ac2528","ac","8ac2533","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac2528__t8ac2543",-0.0822410628291802,-0.343850635012022,0.203299435568347,0.95,"median","qi","8ac2528","ac","8ac2543","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac2533__t8ac2543",-0.0586858404520718,-0.319917473162439,0.227074735685189,0.95,"median","qi","8ac2533","ac","8ac2543","ac","ac-ac","intra","pr",2,"ac","self"
"rescor__t8ac33__t8ac34",0.0959826041382108,-0.273120012761928,0.43838377317241,0.95,"median","qi","8ac33","ac","8ac34","ac","ac-ac","intra","pr",3,"ac","self"
"rescor__t10ac11__t10ac12",0.309580748052835,0.0352238900273075,0.536374017241033,0.95,"median","qi","10ac11","ac","10ac12","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac11__t10ac13",0.400715378046654,0.141705609215463,0.604442518958383,0.95,"median","qi","10ac11","ac","10ac13","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac11__t10ac14",0.248661917926245,-0.0254420804851384,0.484818641002477,0.95,"median","qi","10ac11","ac","10ac14","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac11__t10ac15",0.407313735031708,0.152442880397985,0.602808541717587,0.95,"median","qi","10ac11","ac","10ac15","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac11__t10ac16",0.241157211408278,-0.0303559483199082,0.479203841568077,0.95,"median","qi","10ac11","ac","10ac16","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac11__t10ac17",0.370932489673647,0.103640763211908,0.574183532821581,0.95,"median","qi","10ac11","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac12__t10ac13",0.419569120605694,0.171554528614271,0.626142599118777,0.95,"median","qi","10ac12","ac","10ac13","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac12__t10ac14",0.566753133297055,0.32731485341464,0.732063997667642,0.95,"median","qi","10ac12","ac","10ac14","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac12__t10ac15",0.196384476201214,-0.0721449852296902,0.447425695342225,0.95,"median","qi","10ac12","ac","10ac15","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac12__t10ac16",0.0785334346758054,-0.20063260287773,0.345610708996177,0.95,"median","qi","10ac12","ac","10ac16","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac12__t10ac17",0.0536528907683228,-0.215253426129122,0.31139267154692,0.95,"median","qi","10ac12","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac13__t10ac14",0.222069110981133,-0.0541573029984899,0.463295856396847,0.95,"median","qi","10ac13","ac","10ac14","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac13__t10ac15",0.630503752156836,0.423259185662301,0.776528144876045,0.95,"median","qi","10ac13","ac","10ac15","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac13__t10ac16",0.151216096349214,-0.117669520310645,0.397039066719627,0.95,"median","qi","10ac13","ac","10ac16","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac13__t10ac17",0.317043421132349,0.0495771625180041,0.541481422898738,0.95,"median","qi","10ac13","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac14__t10ac15",0.169784322157145,-0.108776465144715,0.422144496459002,0.95,"median","qi","10ac14","ac","10ac15","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac14__t10ac16",0.0227452472353803,-0.25008645686842,0.304133829238437,0.95,"median","qi","10ac14","ac","10ac16","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac14__t10ac17",0.0486169638735769,-0.230981630097582,0.304783892506444,0.95,"median","qi","10ac14","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac15__t10ac16",0.136947999382938,-0.140805011464573,0.388094211896446,0.95,"median","qi","10ac15","ac","10ac16","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac15__t10ac17",0.450446879359418,0.205859453793226,0.645286489937078,0.95,"median","qi","10ac15","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac16__t10ac17",0.16601831650832,-0.116748051889896,0.425318156051558,0.95,"median","qi","10ac16","ac","10ac17","ac","ac-ac","intra","sl",1,"ac","self"
"rescor__t10ac21__t10ac22",0.488077204300078,0.237724573615405,0.665964421034867,0.95,"median","qi","10ac21","ac","10ac22","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac21__t10ac23",0.218120992270689,-0.0478896862686588,0.440795947786205,0.95,"median","qi","10ac21","ac","10ac23","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac21__t10ac24",0.417912113142731,0.176694386665588,0.615706183713264,0.95,"median","qi","10ac21","ac","10ac24","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac21__t10ac25",0.641762309523413,0.443340632895544,0.783449752564289,0.95,"median","qi","10ac21","ac","10ac25","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac22__t10ac23",0.396353924545675,0.150960731736622,0.596948290778453,0.95,"median","qi","10ac22","ac","10ac23","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac22__t10ac24",0.390449521254477,0.145610295558142,0.595671380888196,0.95,"median","qi","10ac22","ac","10ac24","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac22__t10ac25",0.434351376039795,0.198555003731583,0.621190354530181,0.95,"median","qi","10ac22","ac","10ac25","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac23__t10ac24",0.55198113919374,0.328214332431681,0.71278556111981,0.95,"median","qi","10ac23","ac","10ac24","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac23__t10ac25",0.160091548032668,-0.0920964549309973,0.392761622810178,0.95,"median","qi","10ac23","ac","10ac25","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac24__t10ac25",0.330820662384725,0.0785248085592177,0.538733114227888,0.95,"median","qi","10ac24","ac","10ac25","ac","ac-ac","intra","sl",2,"ac","self"
"rescor__t10ac31__t10ac32",0.158452651126298,-0.158202530630628,0.450465703843805,0.95,"median","qi","10ac31","ac","10ac32","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac31__t10ac33",0.331946974148697,0.0289841571514382,0.576053100350506,0.95,"median","qi","10ac31","ac","10ac33","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac31__t10ac34",0.337583936839716,0.0163807399981582,0.595057940374021,0.95,"median","qi","10ac31","ac","10ac34","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac31__t10ac35",0.269192896513268,-0.0490659123588307,0.52882303630472,0.95,"median","qi","10ac31","ac","10ac35","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac32__t10ac33",0.473704518746679,0.177329036401392,0.683761972633946,0.95,"median","qi","10ac32","ac","10ac33","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac32__t10ac34",0.356326218577666,0.0493654031389464,0.60184036528134,0.95,"median","qi","10ac32","ac","10ac34","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac32__t10ac35",0.230563357175732,-0.0848125895157332,0.496958446322499,0.95,"median","qi","10ac32","ac","10ac35","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac33__t10ac34",0.185569241828838,-0.12521425557925,0.458123623460632,0.95,"median","qi","10ac33","ac","10ac34","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac33__t10ac35",0.450575019206836,0.153382317618885,0.666153663298802,0.95,"median","qi","10ac33","ac","10ac35","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t10ac34__t10ac35",0.467128440062136,0.180824905563978,0.681138355656083,0.95,"median","qi","10ac34","ac","10ac35","ac","ac-ac","intra","sl",3,"ac","self"
"rescor__t12ac21__t12ac212",0.311832078528854,-0.00695765423833619,0.561631549041354,0.95,"median","qi","12ac21","ac","12ac212","ac","ac-ac","intra","sp",2,"ac","self"
"rescor__t12ac21__t12ac22",0.606750638530344,0.334551246673528,0.783348976641501,0.95,"median","qi","12ac21","ac","12ac22","ac","ac-ac","intra","sp",2,"ac","self"
"rescor__t12ac22__t12ac212",0.396063996461745,0.0741457399713926,0.634315131909084,0.95,"median","qi","12ac22","ac","12ac212","ac","ac-ac","intra","sp",2,"ac","self"
"rescor__t11ac11__t11pj11",0.189950840256804,-0.0402296280952487,0.404333562287625,0.95,"median","qi","11ac11","ac","11pj11","pj","ac-pj","inter","bm",1,"ac","pj"
"rescor__t11ac11__t11pj12",0.0930238997779557,-0.140502762146584,0.318874064018411,0.95,"median","qi","11ac11","ac","11pj12","pj","ac-pj","inter","bm",1,"ac","pj"
"rescor__t11ac11__t11pj13",0.345818496330759,0.125039379467346,0.526577400354602,0.95,"median","qi","11ac11","ac","11pj13","pj","ac-pj","inter","bm",1,"ac","pj"
